source,target,tgt_lng
role-specific agents,特定角色代理,
general-purpose,通用,
"orchestrated, multi-step AI-assisted development pipelines",编排式多步骤人工智能辅助开发流水线,
LLM,大语言模型,
reward modeling,奖励建模,
self-enhancement bias,自我增强偏差,
preference leakage,偏好泄露,
training and testing,训练与测试,
performance metrics,性能指标,
research studies,研究研究,
LLMs as a jury,将大语言模型作为评审团,
chain-of-thought reasoning,思维链推理,
human verification,人工验证,
transparency,透明性,
ethical oversight,伦理监督,
critical workflows,关键工作流,
on-device information retrieval,设备端信息检索,
context-awareness,上下文感知,
retrieval-augmented generation (RAG),检索增强生成（RAG）,
user devices,用户设备,
"mobile, desktop or edge devices",移动、桌面或边缘设备,
privacy,隐私,
computational efficiency,计算效率,
lightweight local database,轻量级本地数据库,
on-device inference,设备端推理,
sqlite-vec,sqlite-vec,
SQLite extension,SQLite扩展,
vector search,向量搜索,
embedded database,嵌入式数据库,
EmbeddingGemma,EmbeddingGemma,
300 million parameter embedding model,三亿参数嵌入模型,
Gemma 3 architecture,Gemma 3架构,
resource-constrained environments,资源受限环境,
cloud APIs,云API,
latency,延迟,
data sovereignty,数据主权,
low-latency,低延迟,
SAIF,SAIF,
Secure AI Framework,安全人工智能框架,
Google,谷歌,
AI security risks,人工智能安全风险,
data poisoning,数据投毒,
prompt injection,提示注入,
risk map,风险图谱,
component analysis,组件分析,
mitigation strategies,缓解策略,
agentic systems,代理系统,
actionable playbook,可操作手册,
LLM usage,大语言模型使用,
AI-driven applications,人工智能驱动应用,
service mesh without sidecar,无边车服务网格,
sidecar-based service meshes,基于边车的服务网格,
Istio ambient mode,Istio环境模式,
layered architecture,分层架构,
per-node L4 proxy,每节点L4代理,
ztunnel,ztunnel,
per-namespace L7 proxy,每命名空间L7代理,
Waypoint proxy,Waypoint代理,
L3 and L4 traffic,L3和L4流量,
ambient data plane,环境数据平面,
node identities,节点身份,
traffic redirection,流量重定向,
ambient-enabled workloads,启用环境的工作负载,
traffic management,流量管理,
observability,可观测性,
small-scale clusters,小规模集群,
large-scale insights,大规模洞察,
best practices,最佳实践,
NVLink,NVLink,
PCIe,PCIe,
NIC,网卡,
GPUs,GPU,
LPUs,LPU,
NVIDIA’s NVL72,英伟达的NVL72,
72 GPUs,72个GPU,
VRAM,显存,
Groq,Groq,
data center,数据中心,
topology-aware scheduling,感知拓扑的调度,
workloads,工作负载,
collective operations,集体操作,
compile-time,编译时,
software-scheduled architecture,软件调度架构,
deterministic data movement,确定性数据移动,
random scheduling,随机调度,
performance,性能,
rack-scale systems,机架级系统,
placement,放置,
hardware layout,硬件布局,
variability,变异性,
jobs,任务,
naive schedulers,简单调度器,
multi-GPU workloads,多GPU工作负载,
step time,步长时间,
efficiency,效率,
training workloads,训练工作负载,
synchronous,同步的,
bandwidth-bound,带宽受限,
contiguous NVLink islands,连续的NVLink岛,
"uniform, high-bandwidth paths",统一的高带宽路径,
all-reduce,全规约,
pipeline stages,流水线阶段,
co-schedule,协同调度,
fabric bandwidth,网络带宽,
cross-switch hops,跨交换机跳数,
"link, switch and node boundaries",链路、交换机和节点边界,
failure domains,故障域,
inference workloads,推理工作负载,
latency and SLO-bound,延迟和SLO受限,
replication,复制,
high availability,高可用性,
sharding,分片,
mixture of experts (MoE),专家混合模型（MoE）,
KV-cache locality,KV缓存局部性,
shortest paths,最短路径,
prefill versus decode phases,预填充与解码阶段,
micro-batching,微批处理,
tenant isolation,租户隔离,
accelerator performance,加速器性能,
network and data center topology,网络和数据中心拓扑,
Kueue,Kueue,
placement precision,放置精度,
reliable scaling,可靠扩展,
clients,客户,
MCP,MCP,
security,安全,
agents,代理,
tool invocation,工具调用,
API calls,API调用,
lethal trifecta,致命三要素,
private data,私有数据,
untrusted content,不可信内容,
external communication,外部通信,
data exfiltration,数据泄露,
data leaks,数据泄露,
toxic flow analysis,有毒流分析,
flow graph,流图,
agentic system,代理系统,
unsafe data paths,不安全的数据路径,
attack vectors,攻击向量,
MCP servers,MCP服务器,
AI-accelerated shadow IT,AI加速的影子IT,
noncoders,非程序员,
IT department,IT部门,
no-code workflow automation platforms,无代码工作流自动化平台,
AI API integration,AI API集成,
OpenAI,OpenAI,
Anthropic,Anthropic,
duct tape,胶带,
chat messages,聊天消息,
ERP API calls,ERP API调用,
AI coding assistants,AI编程助手,
agentic,具有代理性的,
basic training,基础培训,
internal utility applications,内部实用应用程序,
GenAI,生成式人工智能,
legacy systems,遗留系统,
GraphRAG,GraphRAG,
codebase,代码库,
productivity,生产力,
AGENTS.md,AGENTS.md,
README file,README文件,
Markdown,Markdown,
LLM-based coding agents,基于大语言模型的编码代理,
coding environment,编码环境,
testing instructions,测试说明,
commits,提交,
context engineering,上下文工程,
AI for code migrations,用于代码迁移的人工智能,
Code migrations,代码迁移,
language rewrites,语言重写,
dependency upgrades,依赖升级,
framework upgrades,框架升级,
.NET framework,.NET框架,
OpenRewrite,OpenRewrite,
"deterministic, rule-based refactoring tool",确定性、基于规则的重构工具,
agentic coding assistants,代理式编码助手,
compilation errors,编译错误,
migration diffs,迁移差异,
validating tests,验证测试,
hybrid approach,混合方法,
pragmatic collaborators,实用型协作者,
software maintenance,软件维护,
int32-to-int64 migration,int32到int64迁移,
Delta Lake,Delta Lake,
liquid clustering,液态聚类,
partitioning,分区,
Z-ordering,Z序排序,
read performance,读取性能,
partition keys,分区键,
Z-order keys,Z序键,
query patterns,查询模式,
full data rewrite,全量数据重写,
tree-based algorithm,基于树的算法,
designated keys,指定键,
incrementally changed,增量更改,
compute costs,计算成本,
Databricks Runtime,Databricks运行时,
historical query workloads,历史查询工作负载,
optimal columns,最优列,
standalone Delta Lake,独立Delta Lake,
Self-serve UI prototyping with GenAI,使用生成式AI进行自助式UI原型设计,
Figma Make,Figma Make,
Miro AI,Miro AI,
product managers,产品经理,
"interactive, user-testable prototypes",可交互、可用户测试的原型,
text prompts,文本提示,
wireframes,线框图,
HTML,超文本标记语言,
CSS,层叠样式表,
JS,JavaScript,
prototypes,原型,
design sprints,设计冲刺,
user research,用户研究,
self-serve prototyping,自助式原型设计,
feedback loops,反馈循环,
non-designers,非设计师,
Structured output from LLMs,来自大语言模型的结构化输出,
JSON,JSON,
programming class,编程类,
production-grade applications,生产级应用,
data contract,数据契约,
constrained decoding methods,约束解码方法,
Outlines,Outlines,
Instructor,Instructor,
finite-state machines,有限状态机,
unstructured data,非结构化数据,
downstream business logic,下游业务逻辑,
TCR (Test && Commit || Revert),TCR（测试并提交，否则回退）,
programming workflow,编程工作流,
test‐driven development,测试驱动开发,
YAGNI,YAGNI原则,
KISS,KISS原则,
Kent Beck,肯特·贝克,
AI-powered UI testing,AI驱动的UI测试,
exploratory testing,探索性测试,
non-determinism,非确定性,
flakiness,不稳定性,
Playwright,Playwright,
Selenium,Selenium,
browser automation,浏览器自动化,
coding assistants,编码助手,
Playwright Agents,Playwright代理,
Augment Code,增强代码,
Claude Sonnet 4,Claude Sonnet 4,
Claude Sonnet 4.5,Claude Sonnet 4.5,
GPT-5,GPT-5,
GitHub,GitHub,
Jira,Jira,
Confluence,Confluence,
Model Context Protocol (MCP),模型上下文协议（MCP）,
Slack,Slack,
Azure AI Document Intelligence,Azure AI 文档智能,
Form Recognizer,表单识别器,
pre-trained deep learning models,预训练深度学习模型,
no-code interface,无代码界面,
Amazon Textract,亚马逊Textract,
Google Document AI,谷歌Document AI,
IBM’s Docling,IBM的Docling,
OCR tools,OCR工具,
structured data extraction,结构化数据提取,
downstream data pipelines,下游数据管道,
synchronous user workflows,同步用户工作流,
asynchronous processing,异步处理,
Docling,Docling,
Python,Python,
TypeScript,TypeScript,
PDFs,PDF文件,
PowerPoints,PowerPoint演示文稿,
computer vision–based approach,基于计算机视觉的方法,
document layout,文档布局,
semantic structure,语义结构,
retrieval-augmented generation (RAG) pipelines,检索增强生成（RAG）管道,
ColPali,ColPali,
vision-language model,视觉-语言模型,
open-source nature,开源特性,
Python core,Python核心,
Pydantic-based data model,基于Pydantic的数据模型,
self-hosted alternative,自托管替代方案,
proprietary cloud tools,专有云工具,
Azure Document Intelligence,Azure文档智能,
production-grade AI-ready data pipelines,可用于生产的AI就绪数据管道,
IBM Research,IBM研究院,
Arm in the cloud,云中的Arm,
Arm compute instances,Arm计算实例,
x86-based instances,基于x86的实例,
AWS,亚马逊网络服务,
Azure,微软云平台,
GCP,谷歌云平台,
microservices,微服务,
open-source databases,开源数据库,
high-performance computing,高性能计算,
multi-arch Docker images,多架构Docker镜像,
Apache Paimon,Apache Paimon,
data lake format,数据湖格式,
lakehouse architecture,湖仓一体架构,
Flink,弗林克,
Spark,Spark,
LSM (log-structured merge tree),LSM（日志结构合并树）,
primary key tables,主键表,
merge engine,合并引擎,
deduplication,去重,
partial updates,部分更新,
aggregations,聚合,
streaming data ingestion,流式数据摄取,
mutable state,可变状态,
scalable metadata,可扩展元数据,
ACID transactions,ACID事务,
time travel,时间旅行,
schema evolution,模式演变,
DataDog LLM Observability,Datadog大语言模型可观测性,
large language models,大语言模型,
agentic application workflows,代理应用工作流,
tracing,追踪,
monitoring,监控,
diagnostics,诊断,
prompt,提示,
tool call,工具调用,
intermediate step,中间步骤,
spans and traces,跨度和跟踪,
token usage,令牌使用,
errors,错误,
quality metrics,质量指标,
APM,应用性能监控,
observability suite,可观测性套件,
LLM instrumentation,大语言模型插桩,
data engineers,数据工程师,
operations staff,运维人员,
Delta Sharing,Delta共享,
open standard,开放标准,
protocol,协议,
"secure, cross-platform data sharing",安全的跨平台数据共享,
Databricks,Databricks,
Linux Foundation,Linux基金会,
cloud-agnostic,云无关,
live data,实时数据,
on-prem locations,本地位置,
data freshness,数据新鲜度,
duplication costs,重复成本,
e-commerce company,电子商务公司,
Thoughtworks,思特沃克,
GraphQL,GraphQL,
REST APIs,REST API,
SQL,SQL,
DoS attacks,拒绝服务攻击,
knowledge flows,知识流,
knowledge stocks,知识存量,
communities of practice,实践社区,
LLM as a judge,大语言模型作为评判者,
Anchoring coding agents to a reference application,将编码代理锚定到参考应用,
Model Context Protocol (MCP) server,模型上下文协议（MCP）服务器,
reference application,参考应用,
code drift,代码偏移,
static templates,静态模板,
"living, adaptable blueprints",动态、可适应的蓝图,
AI-driven scaffolding,AI驱动的脚手架,
large language model,大语言模型,
inference,推理,
prompts,提示,
instructions,指令,
environmental signals,环境信号,
prompt engineering,提示工程,
context setup,上下文设置,
minimal system prompts,最小系统提示,
canonical few-shot examples,标准少样本示例,
token-efficient tools,高效用令牌工具,
context management,上下文管理,
long-horizon tasks,长周期任务,
finite context windows,有限上下文窗口,
context summarization,上下文摘要,
structured note-taking,结构化笔记,
external memories,外部记忆,
sub-agent architectures,子代理架构,
Dynamic information retrieval,动态信息检索,
just‐in‐time (JIT) context retrieval,即时（JIT）上下文检索,
GenAI for forward engineering,用于正向工程的生成式AI,
AI- generated descriptions,AI生成的描述,
legacy codebases,遗留代码库,
specification,规范,
legacy modernization,遗留系统现代化,
functional descriptions,功能描述,
hidden logic,隐藏逻辑,
dependencies,依赖关系,
edge cases,边界情况,
reverse‐engineering → design/ solutioning → forward‐engineering loop,逆向工程→设计/解决方案→前向工程循环,
spreadsheets,电子表格,
enterprises,企业,
shadow IT,影子IT,
data,数据,
systems,系统,
Organizations,组织,
Capacity-driven development,容量驱动开发,
modern software development practices,现代软件开发实践,
flow of work,工作流,
Stream-aligned teams,流对齐团队,
user journey,用户旅程,
product,产品,
end-to-end value,端到端价值,
cognitive load,认知负荷,
technical debt,技术债务,
congestion collapse,拥塞崩溃,
context switching,上下文切换,
system health,系统健康,
WIP limits,在制品限制,
cross-training,交叉培训,
dynamic reteaming,动态重组团队,
Complacency with AI-generated code,对AI生成代码的自满,
code quality,代码质量,
prototyping,原型设计,
greenfield projects,绿地项目,
GitClear’s 2024 research,GitClear 2024年研究,
duplicate code,重复代码,
code churn,代码变更频繁,
refactoring activity,重构活动,
commit histories,提交历史,
Microsoft research,微软研究,
knowledge workers,知识工作者,
AI-driven confidence,由AI驱动的自信,
critical thinking,批判性思维,
coding agents,编码代理,
change sets,变更集,
production,生产环境,
TDD,测试驱动开发,
static analysis,静态分析,
coding workflows,编码工作流,
curated shared instructions,精心策划的共享指令,
software teams,软件团队,
Naive API-to-MCP conversion,简单的API到MCP转换,
AI agents,AI代理,
existing systems,现有系统,
internal APIs,内部API,
MCP link,MCP链接,
FastAPI-MCP,FastAPI-MCP,
REST API,REST API,
pre-signed URLs,预签名URL,
pandas,pandas,
Power BI,Power BI,
data tables,数据表,
views,视图,
AI models,AI模型,
notebooks,笔记本,
centralized governance,集中式治理,
auditing,审计,
cloud egress costs,云出口成本,
Dovetail Trial,Dovetail 试用,
Dovetail platform,Dovetail 平台,
qualitative research data,定性研究数据,
centralized repository,集中式存储库,
user interviews,用户访谈,
transcripts,转录文本,
insights,洞察,
product discovery workflows,产品探索工作流,
evidence trail,证据链,
customer quotes,客户引述,
synthesized themes,综合主题,
product hypotheses,产品假设,
estimated ROI,预估投资回报率,
Langdock,Langdock,
generative AI agents,生成式AI代理,
workflows,工作流,
internal operations,内部运营,
unified environment,统一环境,
internal chat assistants,内部聊天助手,
API layer,API层,
Google Drive,Google Drive,
on-premise,本地部署,
EU-hosted options,欧盟托管选项,
enterprise compliance standards,企业合规标准,
data governance,数据治理,
platform’s maturity,平台成熟度,
custom development,自定义开发,
LangSmith,LangSmith,
hosted platform,托管平台,
LangChain team,LangChain团队,
evaluation,评估,
LLM applications,LLM应用,
chains,链,
performance regressions,性能退化,
evaluation data sets,评估数据集,
proprietary SaaS platform,专有SaaS平台,
non-LangChain workflows,非LangChain工作流,
ecosystem,生态系统,
prompt evaluation,提示评估,
experimentation,实验,
open-source alternatives,开源替代方案,
Langfuse,Langfuse,
external data sources,外部数据源,
AI-generated outputs,AI生成内容,
context,上下文,
tool access,工具访问,
Agent2Agent (A2A) protocol,代理间（A2A）协议,
inter-agent communication,代理间通信,
servers,服务器,
databases,数据库,
wikis,维基,
services,服务,
applications,应用,
JetBrains,JetBrains,
IntelliJ,IntelliJ,
Apple,苹果,
emerging frameworks,新兴框架,
FastMCP,FastMCP,
MCP Registry standard,MCP注册标准,
"September 4, 2025",2025年9月4日,
AG-UI,AG-UI,
A2A,A2A,
Pydantic AI,Pydantic AI,
Tauri,Tauri,
Rust,Rust,
iOS,iOS,
Android,Android,
inter‐process communication (IPC),进程间通信（IPC）,
Agent Development Kit (ADK),代理开发工具包（ADK）,
CrewAI,CrewAI,
Google’s AI infrastructure,谷歌的人工智能基础设施,
agentic architecture,代理架构,
Agno,Agno,
multi-agent systems,多代理系统,
human-in-the-loop,人在回路中,
session management,会话管理,
memory and knowledge,记忆与知识,
AgentOS,AgentOS,
FastAPI,FastAPI,
control plane,控制平面,
assistant-ui,assistant-ui,
"© Thoughtworks, Inc. All Rights Reserved.","版权所有 © Thoughtworks, Inc.",
components using Radix primitives,使用 Radix 原语的组件,
Vercel AI SDK,Vercel AI SDK,
AutoRound,AutoRound,
Intel’s AutoRound,英特尔的 AutoRound,
quantization algorithm,量化算法,
large AI models,大型AI模型,
vision language models (VLMs),视觉语言模型（VLMs）,
ultra‐low bit widths (2–4 bits),超低位宽（2–4位）,
sign‐gradient descent optimization,符号梯度下降优化,
mixed bit widths,混合位宽,
Transformers,Transformers,
Browser Use,浏览器使用,
open-source Python library,开源Python库,
LLM-based agents,基于大语言模型的代理,
web browsers,网络浏览器,
web applications,Web应用,
navigate,导航,
extract text,提取文本,
manage multiple tabs,管理多个标签页,
Pytest framework,Pytest框架,
Allure reporting,Allure报告,
automated testing,自动化测试,
natural language,自然语言,
screenshots,截图,
assertions,断言,
failures,失败,
off-hours QA,非工作时间质量保证,
post-development verification,开发后验证,
DeepSpeed,DeepSpeed,
Python library,Python库,
distributed deep learning,分布式深度学习,
training,训练,
Zero Redundancy Optimizer (ZeRO),零冗余优化器（ZeRO）,
3D parallelism,3D并行,
tensor,张量,
pipeline,流水线,
expert,专家,
custom kernels,自定义内核,
communication optimizations,通信优化,
Megatron‐Turing NLG (530B),Megatron-Turing NLG（5300亿参数）,
BLOOM (176B),BLOOM（1760亿参数）,
dense and sparse models,稠密和稀疏模型,
system throughput,系统吞吐量,
resource-constrained GPUs,资源受限的GPU,
Hugging Face Transformers,Hugging Face Transformers,
PyTorch Lightning,PyTorch Lightning,
Accelerate,Accelerate,
large-scale or resource-limited deep learning workloads,大规模或资源受限的深度学习工作负载,
Drizzle,Drizzle,
API,应用程序编程接口,
Postman,Postman,
Insomnia,Insomnia,
Bruno,布鲁诺,
Hoppscotch,Hoppscotch,
NVIDIA DCGM Exporter,NVIDIA DCGM 导出器,
NVIDIA Data Center GPU Manager (DCGM),NVIDIA数据中心GPU管理器（DCGM）,
ECC error counts,ECC错误计数,
Prometheus,Prometheus,
Grafana,Grafana,
RelationalAI,关系型AI,
Snowflake,Snowflake,
Graph Reasoner,图推理引擎,
knowledge graph,知识图谱,
UX Pilot,UX Pilot,
UX design,用户体验设计,
wireframing,线框图,
high-fidelity visual design,高保真视觉设计,
Autoflow,自动流程,
Deep Design,深度设计,
Figma,Figma,
plugin,插件,
stakeholder feedback,利益相关者反馈,
AI-assisted design workflows,AI辅助设计工作流,
AI,人工智能,
model sizes,模型规模,
HBM,高带宽内存,
distributed training,分布式训练,
multi-GPU inference,多GPU推理,
platform teams,平台团队,
pipelines,管道,
throughput,吞吐量,
fleet telemetry,集群遥测,
interconnect bandwidth,互连带宽,
container orchestrator,容器编排器,
managing AI workloads at scale,大规模管理AI工作负载,
micro,micro,
Uncloud,Uncloud,
GPU-aware scheduling patterns,GPU感知调度模式,
queueing,队列,
quota,配额,
gang scheduling,组调度,
co-locate,共置,
NVLink/NVSwitch,NVLink/NVSwitch,
data center “islands”,数据中心“孤岛”,
racks,机架,
pods,机柜,
RDMA,远程直接内存访问,
multi-GPU and NUMA-aware API,多GPU和NUMA感知API,
cross-device bandwidth,跨设备带宽,
tail latency,尾部延迟,
effective utilization,有效利用率,
rapid innovation in AI infrastructure,AI基础设施的快速创新,
AI coding workflows,AI编码工作流,
table stakes,基本要求,
first-class scheduling concern,头等调度考量,
protocols,协议,
boilerplate,样板代码,
user-facing multi-agent applications,面向用户的多智能体应用,
software development,软件开发,
behavior,行为,
resource consumption,资源消耗,
AGENTS.md files,AGENTS.md 文件,
RAG,RAG,
AI antipatterns,AI反模式,
Pydantic,Pydantic,
structured representations,结构化表示,
unstructured documents,非结构化文档,
valid structure,有效结构,
maturity,成熟度,
reliability,可靠性,
default choice,默认选择,
production-level Python AI applications,生产级Python人工智能应用,
AI Design Reviewer,AI设计评审员,
Figma plugin,Figma插件,
design audits,设计审计,
heuristic evaluations,启发式评估,
actionable feedback,可操作反馈,
existing or new designs,现有或新设计,
UX critiques,用户体验批评,
UI inconsistencies,用户界面不一致,
accessibility gaps,可访问性差距,
content quality,内容质量,
edge-case scenarios,边缘情况场景,
domain-aware recommendations,领域感知建议,
shared design vocabulary,共享设计词汇,
rationale behind design choices,设计决策背后的理由,
legacy designs,遗留设计,
positive experiences,正面体验,
negative ones,负面体验,
UX goals,用户体验目标,
redesigns,重新设计,
peer-review substitute,同行评审替代方案,
early feedback,早期反馈,
development handoff,开发交接,
Barman,Barman,
Backup and Recovery Manager,备份与恢复管理器,
open-source tool,开源工具,
backups,备份,
disaster recovery,灾难恢复,
PostgreSQL servers,PostgreSQL服务器,
physical backups,物理备份,
comprehensive catalog,全面目录,
point-in-time recovery,时间点恢复,
live server,活动服务器,
migration activities,迁移活动,
scheduled backups,计划备份,
"complex, mixed configurations",复杂混合配置,
scheduling and retention,调度与保留,
agentic AI coding tool,代理式人工智能编码工具,
natural language interface,自然语言界面,
agentic execution model,代理执行模型,
multi-step workflows,多步骤工作流,
Codex CLI,Codex CLI,
Gemini CLI,Gemini CLI,
OpenCode,OpenCode,
IDE-based assistants,基于集成开发环境的助手,
Cursor,Cursor,
Windsurf,Windsurf,
GitHub Copilot,GitHub Copilot,
agent modes,代理模式,
general-purpose AI agent,通用人工智能代理,
specifications,规范,
stories,用户故事,
configuration,配置,
infrastructure,基础设施,
documentation,文档,
Agentic coding,代理式编码,
developer’s focus,开发者的关注点,
specifying intent,明确意图,
delegating implementation,委派实现,
development cycles,开发周期,
complacency,自满,
AI-generated code,人工智能生成代码,
code maintenance,代码维护,
evolve,演进,
rigorously manage,严格管理,
teams of coding agents,编码代理团队,
Cleanlab,Cleanlab,
RPC,远程过程调用,
production applications,生产应用,
MCP-Scan,MCP-Scan,
authorization module,授权模块,
n8n,n8n,
fair-code–licensed,公平代码许可,
workflow automation platform,工作流自动化平台,
Zapier,Zapier,
Make,Make,
Integromat,Integromat,
self-hosted,自托管,
extensible,可扩展,
code-controllable,代码可控,
lower-code,低代码,
visual approach,可视化方法,
Apache Airflow,Apache Airflow,
JavaScript,JavaScript,
configurable data sources,可配置数据源,
memory,记忆,
chat applications,聊天应用,
webhooks,网络钩子,
import and export capabilities,导入导出功能,
AI assistance,人工智能辅助,
low-code platforms,低代码平台,
code-defined workflows,代码定义的工作流,
OpenThread,OpenThread,
open-source,开源,
Thread networking protocol,Thread 网络协议,
IPv6,IPv6,
6LoWPAN,6LoWPAN,
LR-WPAN,低速率无线个域网,
mesh network,网状网络,
node,节点,
border router,边界路由器,
hardware platforms,硬件平台,
abstraction layer,抽象层,
integration hooks,集成钩子,
vendors,供应商,
radio,无线电,
cryptographic capabilities,加密功能,
commercial products,商业产品,
IoT solutions,物联网解决方案,
battery-operated,电池供电,
low-power devices,低功耗设备,
large-scale mesh sensor networks,大规模网状传感器网络,
AG-UI Protocol,AG-UI 协议,
open protocol,开放协议,
library,库,
rich user interfaces,富用户界面,
middleware,中间件,
client integrations,客户端集成,
front-end,前端,
back-end,后端,
real-time,实时,
stateful collaboration,有状态协作,
human users,人类用户,
transport protocols,传输协议,
SSE,SSE,
WebSockets,WebSocket,
standardized event types,标准化事件类型,
agent execution,代理执行,
community integrations,社区集成,
Agent-to-Agent (A2A) Protocol,代理到代理（A2A）协议,
dbt,dbt,
Power user for dbt,dbt高级用户,
Visual Studio Code,Visual Studio Code,
dbt Cloud,dbt Cloud,
IDE,集成开发环境,
code autocompletion,代码自动补全,
real-time query results,实时查询结果,
model and column lineage,模型和字段血缘关系,
pipeline errors,流水线错误,
development experience,开发体验,
Serena,塞雷娜,
coding toolkit,编码工具包,
IDE-like capabilities,类IDE功能,
semantic code retrieval,语义化代码检索,
editing,编辑,
symbol level,符号级别,
relational structure of code,代码的关联结构,
token efficiency,令牌效率,
find_symbol,查找符号,
find_referencing_symbols,查找引用符号,
insert_after_symbol,在符号后插入,
SweetPad,SweetPad,
Swift,Swift,
Apple platforms,苹果平台,
Xcode,Xcode,
xcodebuild,xcodebuild,
xcode-build-server,xcode-build-server,
swift-format,swift-format,
macOS,macOS,
watchOS,watchOS,
simulators,模拟器,
Tape/Z,Tape/Z,
Tools for Assembly Program Exploration for Z/OS,Z/OS汇编程序探索工具,
Z/OS,Z/OS,
mainframe HLASM,大型机HLASM,
High‐Level Assembler,高级汇编器,
parsing,解析,
control flow graph construction,控制流图构建,
dependency tracing,依赖追踪,
flowchart visualization,流程图可视化,
proprietary,专有,
vendor ecosystems,供应商生态系统,
COBOL REKT,COBOL REKT,
COBOL,COBOL,
"modern, developer-friendly tooling",现代化、开发者友好的工具,
confident learning,置信学习,
model-predicted probabilities,模型预测概率,
label noise,标签噪声,
data quality,数据质量,
model-agnostic approach,模型无关方法,
diagnose and correct data set errors,诊断和纠正数据集错误,
retrain models,重新训练模型,
robustness,鲁棒性,
accuracy,准确性,
real-world settings,真实世界场景,
data standardization,数据标准化,
AI engineering projects,人工智能工程项目,
Context7,Context7,
MCP server,MCP服务器,
inaccuracies in AI-generated code,AI生成代码中的不准确性,
outdated training data,过时的训练数据,
"accurate, up-to-date and version-specific code",准确、最新且版本特定的代码,
libraries and frameworks,库和框架,
latest documentation,最新文档,
functional code examples,功能性代码示例,
framework source repositories,框架源代码仓库,
LLM’s context window,大语言模型上下文窗口,
prompting,提示,
code hallucinations,代码幻觉,
stale training data,陈旧的训练数据,
AI code editors,AI代码编辑器,
VS Code,VS Code,
refactor,重构,
debug,调试,
framework-dependent code,依赖框架的代码,
Data Contract CLI,数据契约命令行工具,
open-source command-line tool,开源命令行工具,
Data Contract specification,数据契约规范,
create and edit data contracts,创建和编辑数据契约,
validate data against its contract,根据契约验证数据,
integrity,完整性,
data products,数据产品,
schema definitions,模式定义,
Avro,Avro,
SQL DDL,SQL DDL,
Open Data Contract Standard,开放数据契约标准,
compare different contract versions,比较不同契约版本,
breaking changes,破坏性变更,
data mesh,数据网格,
operationalize contract governance,实现契约治理的可操作化,
CI/CD integration,CI/CD集成,
manual errors,人工错误,
compatibility,兼容性,
data exchanges,数据交换,
Databricks Assistant,Databricks 助手,
AI-powered conversational tool,由AI驱动的对话工具,
Databricks platform,Databricks平台,
contextual pair programmer,上下文结对程序员,
data professionals,数据专业人员,
general-purpose coding assistants,通用编码助手,
native understanding,原生理解,
Databricks environment,Databricks环境,
data context,数据上下文,
metadata,元数据,
Unity Catalog,Unity Catalog,
code snippets,代码片段,
"complex, multi-step SQL and Python queries",复杂的多步SQL和Python查询,
diagnose errors,诊断错误,
workspace-specific explanations,工作区特定的解释,
Databricks ecosystem,Databricks生态系统,
